property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,indiabulls enigma,sector 110,4.0,9850,4,4,3,17,New Property,3350.0,0,0,0,0,0,0,59
flat,whiteland  the aspen,sector 76,3.5,11917,3,4,3,8,Under Construction,2937.0,0,0,0,0,0,0,0
flat,ramsons kshitij,sector 95,0.45,4592,2,2,1,2,Relatively New,887.0,1,0,0,0,0,0,89
flat,dlf new town heights,sector 90,1.65,6980,4,4,3+,15,Moderately Old,2139.0,0,1,0,0,0,2,137
flat,sare crescent parc,sector 92,0.9,4278,4,5,3+,14,Relatively New,1692.0,0,1,0,0,1,0,62
house,Sector 15 Part 2 RWA,sector 15,10.0,22222,5,5,2,2,Old Property,4518.0,0,0,0,0,0,0,49
flat,godrej summit,sector 104,1.35,5015,4,5,3+,0,Relatively New,2991.0,1,1,1,1,0,0,88
house,Uppal Southend4.0 ?,sector 49,4.4,15278,6,6,3,3,Moderately Old,2880.0,1,1,1,1,0,1,110
house,Emaar Emerald Hills4.1 ?,sector 65,12.5,34722,4,4,3+,2,Relatively New,3600.0,1,1,0,0,0,0,0
flat,m3m heights,sector 65,2.0,13957,2,2,2,32,Relatively New,1433.0,0,0,0,0,0,0,48
house,independent,sector 26,4.6,12198,4,4,3+,0,Old Property,3771.0,0,0,0,0,0,0,28
house,independent,sector 25,13.5,19286,9,9,0,1,Relatively New,7000.0,0,0,0,0,0,0,0
house,Ansals Palam Vihar,sector 2,5.7,14729,5,5,2,2,Old Property,4550.0,0,0,0,1,0,1,94
house,Signature Global City,sector 37d,1.27,8089,3,3,3,4,New Property,1570.0,0,0,0,1,0,0,89
flat,orris carnation residency,sector 85,1.1,6687,3,4,3,6,Moderately Old,1467.0,0,1,0,0,0,1,65
flat,hero homes,dwarka expressway,1.6,7824,3,3,3,1,New Property,1529.0,0,0,0,0,0,0,49
flat,vatika india next,sector 82,0.8,6426,2,2,3,9,Relatively New,1383.0,0,0,0,0,0,0,0
flat,m3m merlin,sector 67,3.32,14080,3,4,3,8,New Property,2016.0,0,1,0,0,0,2,174
house,Ardee City3.8 ?,sector 52,5.5,20370,9,9,3+,3,Moderately Old,2700.0,0,1,0,1,1,2,26
